end_time,run,gain_set,gain_actual,signal,peak_signal,noise,snr,modes,bad,p_bad,messages_valid,max_distance
1701190225.0,1,42.1,42.1,-10.3,-1.0,-19.4,9.1,4724532,3388521,0.717,48378,417843
1701190305.0,1,25.4,25.4,-17.3,-1.0,-28.1,10.8,2113884,1335001,0.632,42654,390020
1701190375.0,1,48.0,48.0,-8.9,-0.9,-17.7,8.8,5098952,3704048,0.726,52163,416834
1701190455.0,1,36.4,36.4,-13.3,-1.3,-22.8,9.5,3619115,2474280,0.684,52105,376545
1701190525.0,1,32.8,32.8,-14.7,-0.9,-24.2,9.5,3167434,2103652,0.664,49927,371299
1701190605.0,1,44.5,44.5,-9.6,-0.9,-18.9,9.3,4820896,3460178,0.718,50892,383953
1701190675.0,1,49.6,49.6,-9.5,-0.9,-18.4,8.9,5446857,3935234,0.722,56406,424271
1701190755.0,1,43.4,43.4,-11.1,-1.2,-19.9,8.8,4714143,3379972,0.717,52997,468821
1701190825.0,1,29.7,29.7,-16.1,-2.1,-26.5,10.4,2718509,1742399,0.641,54624,416514
1701190905.0,1,-10,59.0,-5.0,-1.0,-12.5,7.5,5353414,3934730,0.735,52295,436091
1701190985.0,1,33.8,33.8,-13.7,-1.1,-23.6,9.9,3327121,2245876,0.675,53870,445451
1701191055.0,1,40.2,40.2,-11.9,-1.0,-20.9,9.0,4295763,3036910,0.707,52101,401723
1701191135.0,1,37.2,37.2,-12.5,-1.0,-22.1,9.6,3834838,2651923,0.692,51850,430342
1701191205.0,1,28.0,28.0,-17.9,-2.5,-28.7,10.8,2273256,1425572,0.627,48994,443954
1701191285.0,1,38.6,38.6,-13.1,-1.1,-22.5,9.4,3916121,2717890,0.694,52274,454808
1701191355.0,1,43.9,43.9,-11.1,-0.7,-19.7,8.6,4731890,3396563,0.718,52112,471357
1701191435.0,2,37.2,37.2,-12.7,-1.1,-22.3,9.6,3921383,2716528,0.693,50921,476724
1701191505.0,2,36.4,36.4,-12.8,-1.0,-23.3,10.5,3438728,2323946,0.676,54055,430143
1701191585.0,2,48.0,48.0,-8.8,-1.0,-18.7,9.9,4918054,3557067,0.723,52464,522807
1701191655.0,2,43.9,43.9,-9.4,-1.1,-19.3,9.9,4704048,3387009,0.72,52237,457381
1701191735.0,2,32.8,32.8,-13.0,-1.1,-24.1,11.1,2989220,1959278,0.655,51822,395507
1701191805.0,2,29.7,29.7,-13.4,-1.2,-24.5,11.1,2831889,1832486,0.647,50006,411126
1701191885.0,2,49.6,49.6,-8.4,-0.9,-17.2,8.8,4887637,3527687,0.722,53502,428818
1701191955.0,2,43.4,43.4,-9.0,-0.8,-18.0,9.0,5151191,3702993,0.719,54157,523804
1701192035.0,2,44.5,44.5,-9.2,-0.9,-18.5,9.3,4734215,3384721,0.715,51733,532076
1701192115.0,2,42.1,42.1,-9.6,-0.8,-19.4,9.8,4470948,3180348,0.711,49949,518240
1701192185.0,2,-10,59.0,-4.7,-0.9,-12.0,7.3,5153182,3771960,0.732,43409,428891
1701192265.0,2,33.8,33.8,-10.7,-1.1,-21.5,10.8,3353283,2266588,0.676,50529,483523
1701192335.0,2,28.0,28.0,-13.0,-1.4,-24.9,11.9,2380011,1515226,0.637,49118,438314
1701192415.0,2,40.2,40.2,-9.8,-1.1,-20.6,10.8,4107136,2908458,0.708,52959,455008
1701192485.0,2,38.6,38.6,-11.0,-1.0,-21.9,10.9,3889099,2711999,0.697,50571,443370
1701192565.0,2,25.4,25.4,-19.1,-2.1,-31.8,12.7,1665044,1002045,0.602,41121,423758
1701192635.0,3,38.6,38.6,-12.0,-1.2,-22.4,10.4,3823790,2658198,0.695,54303,502455
