end_time,run,gain_set,gain_actual,signal,peak_signal,noise,snr,modes,bad,p_bad,messages_valid,max_distance
1701133395.0,1,32.8,32.8,-13.9,-1.6,-25.9,12.0,2543358,1676031,0.659,48562,450376
1701133475.0,1,22.9,22.9,-16.3,-1.2,-28.8,12.5,1327202,807790,0.609,42938,377416
1701133545.0,1,33.8,33.8,-12.4,-1.1,-23.9,11.5,2736676,1853891,0.677,51587,421437
1701133625.0,1,25.4,25.4,-16.4,-2.4,-28.4,12.0,1511727,944361,0.625,42841,414083
1701133695.0,1,15.7,15.7,-22.3,-5.3,-38.2,15.9,568969,308941,0.543,22451,247055
1701133775.0,1,40.2,40.2,-9.7,-0.9,-20.2,10.5,3532258,2498999,0.707,48448,673218
1701133845.0,1,38.6,38.6,-10.3,-1.0,-21.3,11.0,3198619,2237335,0.699,48966,429720
1701133925.0,1,43.4,43.4,-8.8,-0.8,-19.5,10.7,3868560,2786265,0.72,47142,616152
1701134005.0,1,19.7,19.7,-17.5,-2.2,-33.2,15.7,899677,539447,0.6,26393,430632
1701134075.0,1,36.4,36.4,-10.9,-0.7,-21.7,10.8,2762661,1890973,0.684,44036,436174
1701134155.0,1,29.7,29.7,-13.0,-0.9,-24.8,11.8,2045646,1339077,0.655,41763,452912
1701134225.0,1,16.6,16.6,-18.0,-2.2,-32.8,14.8,646760,389108,0.602,21944,218239
1701134305.0,1,42.1,42.1,-9.5,-0.9,-20.0,10.5,3602877,2563138,0.711,44849,409651
1701134375.0,1,-10,59.0,-5.1,-0.8,-13.9,8.8,4307865,3162397,0.734,40795,421701
1701134455.0,1,20.7,20.7,-17.9,-1.9,-30.3,12.4,964874,571190,0.592,29497,416171
1701134525.0,1,48.0,48.0,-8.7,-0.8,-20.0,11.3,4061680,2933928,0.722,42339,448943
1701134605.0,1,44.5,44.5,-9.2,-1.1,-20.5,11.3,3732233,2678775,0.718,43153,495198
1701134675.0,1,49.6,49.6,-8.9,-1.0,-20.2,11.3,3836089,2775414,0.724,42494,461423
1701134755.0,1,43.9,43.9,-9.5,-1.0,-20.9,11.4,3635574,2603149,0.716,43508,474846
1701134825.0,1,28.0,28.0,-15.0,-2.5,-28.0,13.0,1469950,904039,0.615,39710,432187
1701134905.0,1,37.2,37.2,-10.9,-1.1,-23.1,12.2,2788644,1921160,0.689,42594,423414
1701134975.0,2,16.6,16.6,-22.6,-8.1,-37.7,15.1,521394,290511,0.557,21457,287115
1701135055.0,2,-10,59.0,-5.2,-0.9,-14.6,9.4,4638805,3423156,0.738,41188,432545
1701135135.0,2,25.4,25.4,-17.5,-2.7,-29.9,12.4,1297618,777762,0.599,36333,421799
1701135205.0,2,33.8,33.8,-13.0,-1.7,-24.7,11.7,2544192,1706110,0.671,44982,485348
1701135285.0,2,19.7,19.7,-20.7,-2.6,-33.2,12.5,785308,449394,0.572,27511,274487
1701135355.0,2,15.7,15.7,-18.2,-1.4,-33.3,15.1,538428,302551,0.562,17818,248687
1701135435.0,2,37.2,37.2,-11.0,-0.9,-22.8,11.8,3160006,2173242,0.688,48909,438428
1701135505.0,2,49.6,49.6,-9.1,-0.9,-19.6,10.5,4287351,3095793,0.722,50533,418144
1701135585.0,2,32.8,32.8,-13.3,-1.8,-25.8,12.5,2569216,1691485,0.658,44405,423986
1701135655.0,2,38.6,38.6,-11.7,-1.0,-23.1,11.4,3374501,2345392,0.695,44666,410808
1701135735.0,2,44.5,44.5,-10.6,-0.9,-20.8,10.2,4063046,2912613,0.717,49096,434667
1701135805.0,2,43.9,43.9,-10.9,-0.9,-21.0,10.1,4146383,2983396,0.72,48091,435107
1701135885.0,2,40.2,40.2,-12.5,-1.2,-24.4,11.9,3403609,2383480,0.7,49715,447101
1701135955.0,2,22.9,22.9,-21.8,-4.1,-32.2,10.4,1133557,649592,0.573,39948,397887
1701136035.0,2,48.0,48.0,-10.4,-1.0,-21.4,11.0,3944653,2834821,0.719,50394,644557
1701136105.0,2,29.7,29.7,-14.9,-1.2,-26.8,11.9,1956199,1233638,0.631,46888,434433
1701136185.0,2,43.4,43.4,-10.1,-0.9,-21.4,11.3,3839323,2739040,0.713,50898,618532
1701136255.0,2,42.1,42.1,-10.0,-1.0,-22.1,12.1,3762010,2660315,0.707,51316,597376
1701136335.0,2,28.0,28.0,-14.6,-1.3,-27.1,12.5,1688518,1045222,0.619,46354,397004
1701136415.0,2,20.7,20.7,-21.4,-4.5,-34.7,13.3,808793,456550,0.564,35127,379770
1701136485.0,2,36.4,36.4,-12.6,-1.1,-25.7,13.1,2594063,1731939,0.668,51226,421638
1701136565.0,3,33.8,33.8,-14.6,-1.7,-27.4,12.8,2442355,1611824,0.66,50101,404165
1701136635.0,3,36.4,36.4,-13.9,-2.1,-27.3,13.4,2538303,1687372,0.665,48575,396089
1701136715.0,3,43.9,43.9,-10.5,-0.9,-22.2,11.7,3867470,2760082,0.714,49807,403116
1701136785.0,3,28.0,28.0,-15.2,-1.4,-29.8,14.6,1590486,972107,0.611,44938,418156
1701136865.0,3,-10,59.0,-5.3,-0.8,-14.4,9.1,4583782,3368476,0.735,45260,467756
1701136935.0,3,25.4,25.4,-17.0,-1.2,-32.8,15.8,1073857,612602,0.57,40028,371216
1701137015.0,3,19.7,19.7,-21.0,-4.1,-38.9,17.9,553579,292738,0.529,27567,303411
1701137085.0,3,44.5,44.5,-10.6,-1.1,-22.5,11.9,3823705,2727119,0.713,51028,418896
1701137165.0,3,15.7,15.7,-24.5,-8.4,-40.9,16.4,348684,183981,0.528,17035,241103
1701137235.0,3,16.6,16.6,-25.3,-10.4,-40.0,14.7,523583,276838,0.529,25325,258387
1701137315.0,3,48.0,48.0,-9.0,-0.9,-20.1,11.1,4171234,2996597,0.718,53187,435891
1701137385.0,3,42.1,42.1,-10.8,-0.9,-21.5,10.7,3740021,2625967,0.702,54330,444112
1701137465.0,3,40.2,40.2,-11.1,-0.8,-22.8,11.7,3402996,2376099,0.698,48671,374372
1701137545.0,3,38.6,38.6,-11.2,-1.0,-23.7,12.5,3135815,2144579,0.684,51238,439850
1701137615.0,3,37.2,37.2,-11.1,-0.9,-23.7,12.6,3018502,2058244,0.682,51123,423300
1701137695.0,3,29.7,29.7,-12.4,-1.1,-26.3,13.9,1981432,1243376,0.628,46850,405212
